,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
90,144,PHTF2,ENSG00000006576,0.0,1.0,1.0,3,0
91,146,FARP2,ENSG00000006607,0.0,1.0,1.0,1,0
92,148,GGCT,ENSG00000006625,0.0,1.0,1.0,2,0
93,151,IFRD1,ENSG00000006652,0.0,1.0,1.0,5,0
94,155,PAF1,ENSG00000006712,0.0,1.0,1.0,13,0
95,156,VPS41,ENSG00000006715,0.0,1.0,1.0,11,0
96,157,ARHGAP44,ENSG00000006740,0.0,1.0,1.0,1,0
97,158,ELAC2,ENSG00000006744,0.0,1.0,1.0,9,0
98,160,ARSD,ENSG00000006756,0.0,1.0,1.0,6,0
99,161,PNPLA4,ENSG00000006757,0.0,1.0,1.0,2,0
100,163,ADIPOR2,ENSG00000006831,0.0,1.0,1.0,11,0
101,167,MARK4,ENSG00000007047,0.0,1.0,1.0,2,0
102,169,CCDC124,ENSG00000007080,0.0,1.0,1.0,4,0
103,170,CEACAM21,ENSG00000007129,0.0,1.0,1.0,2,0
104,171,PAFAH1B1,ENSG00000007168,0.0,1.0,1.0,23,0
105,174,BLTP2,ENSG00000007202,0.0,1.0,1.0,20,0
106,176,GAS7,ENSG00000007237,0.0,1.0,1.0,46,0
107,177,TRAPPC6A,ENSG00000007255,0.0,1.0,1.0,2,0
108,178,MATK,ENSG00000007264,0.0,1.0,1.0,1,0
109,180,CD79B,ENSG00000007312,0.0,1.0,1.0,2,0
110,181,SCN4A,ENSG00000007314,0.0,1.0,1.0,1,0
111,182,ST7L,ENSG00000007341,0.0,1.0,1.0,1,0
112,183,TKTL1,ENSG00000007350,0.0,1.0,1.0,1,0
113,185,RPUSD1,ENSG00000007376,0.0,1.0,1.0,1,0
114,187,LUC7L,ENSG00000007392,0.0,1.0,1.0,9,0
115,188,CACNA2D2,ENSG00000007402,0.0,1.0,1.0,1,0
116,190,TSR3,ENSG00000007520,0.0,1.0,1.0,7,0
117,191,PIGQ,ENSG00000007541,0.0,1.0,1.0,5,0
118,192,CRAMP1,ENSG00000007545,0.0,1.0,1.0,2,0
119,195,DNAJC11,ENSG00000007923,0.0,1.0,1.0,3,0
120,197,MYLIP,ENSG00000007944,0.0,1.0,1.0,9,0
121,199,E2F2,ENSG00000007968,0.0,1.0,1.0,4,0
122,200,PSMB1,ENSG00000008018,0.0,1.0,1.0,27,0
123,202,JARID2,ENSG00000008083,0.0,1.0,1.0,17,0
124,203,CDKL5,ENSG00000008086,0.0,1.0,1.0,1,0
